Name	Short Name	Price	Lot Size	Available Quantity	Image URL	Category	ISIN	Status	52W High	52W Low	Market Cap	Description	Popular
Chennai Super Kings Cricket Limited (CSK)	CSK Cricket	185	200	Available on Desk		Sports & Entertainment	INE014J01017	ACTIVE	₹220	₹145	₹5,700 Cr	Chennai Super Kings Cricket Limited owns and operates the prestigious Indian Premier League (IPL) cricket franchise Chennai Super Kings.	true
B9 Beverages Limited (BIRA 91)	Bira 91	620	50	Available on Desk		Consumer Goods & Beverages	INE003N01016	ACTIVE	₹740	₹510	₹4,200 Cr	B9 Beverages is a craft beer maker and lifestyle beverage brand behind the popular BIRA 91 beer in India and global markets.	true
Bootes Impex Tech Limited	Bootes Impex	145	200	Available on Desk		Infrastructure & Engineering	INE018X01012	ACTIVE	₹175	₹115	₹920 Cr	Bootes Impex Tech delivers sustainable infrastructure, green building constructions, and net-zero engineering solutions.	false
Hero Fincorp Limited	Hero Fincorp	1380	50	Available on Desk		Financial Services	INE957N01016	IPO READY	₹1,600	₹1,150	₹18,200 Cr	Hero FinCorp is an Indian NBFC and associate company of Hero MotoCorp providing retail, MSME and corporate finance.	true
Delta Galaxy Private Limited	Delta Galaxy	95	250	Available on Desk		Technology	INE0A4M01018	UNLISTED	₹120	₹75	₹450 Cr	Delta Galaxy provides advanced digital trading, logistics and enterprise data solutions across regional supply chains.	false
Care Health Insurance Limited (Religare Health)	Care Health	280	100	Available on Desk		Financial Services	INE971L01018	ACTIVE	₹330	₹210	₹24,500 Cr	Care Health Insurance is a specialized standalone health insurer providing health, critical illness and travel insurance.	true
Hinduja Leyland Finance Limited	Hinduja Leyland	175	200	Available on Desk		Financial Services	INE146O01011	ACTIVE	₹210	₹135	₹8,600 Cr	Hinduja Leyland Finance is a premier vehicle finance NBFC sponsored by Ashok Leyland and the Hinduja Group.	false
Cochin International Airport Limited (CIAL)	Cochin Airport	215	200	Available on Desk		Infrastructure & Aviation	INE079C01014	ACTIVE	₹260	₹165	₹8,200 Cr	CIAL operates Cochin International Airport, the world's first fully solar-powered airport and India's first PPP airport.	true
ICL Fincorp Limited	ICL Fincorp	75	300	Available on Desk		Financial Services	INE018U01018	ACTIVE	₹95	₹58	₹650 Cr	ICL Fincorp is a non-banking financial company offering gold loans, property loans and business credit across India.	false
InCred Holdings Limited	InCred Holdings	220	150	Available on Desk		Financial Services	INE945W01016	ACTIVE	₹270	₹180	₹9,100 Cr	InCred is a diversified new-age financial services group offering personal loans, MSME lending, wealth and institutional equities.	true
Apollo Green Energy Limited	Apollo Green	88	300	Available on Desk		Renewable Energy	INE019V01016	ACTIVE	₹115	₹65	₹1,150 Cr	Apollo Green Energy develops solar farms, battery storage and utility-scale green hydrogen infrastructure projects.	false
House of Kieraya Limited (Furlenco)	Furlenco	65	300	Available on Desk		Consumer & Furniture	INE021A01012	UNLISTED	₹85	₹45	₹950 Cr	House of Kieraya (Furlenco) is India's pioneer furniture and home appliance subscription platform.	false
Inox Leasing and Finance Limited	Inox Leasing	1450	50	Available on Desk		Financial Services	INE582D01019	ACTIVE	₹1,750	₹1,100	₹14,500 Cr	Inox Leasing and Finance is a core investment company and holding company of the prominent Inox Group.	true
Transline Technologies Limited	Transline Tech	82	250	Available on Desk		Technology	INE022B01010	ACTIVE	₹105	₹60	₹420 Cr	Transline Technologies delivers smart city automation, biometric identification and public sector IT system integration.	false
Parag Parikh Financial Advisory Services (PPFAS)	PPFAS Advisory	1650	25	Available on Desk		Financial Services	INE123B01014	ACTIVE	₹1,950	₹1,300	₹1,650 Cr	PPFAS is the holding company and sponsor of Parag Parikh Mutual Fund, one of India's most respected value-investing asset managers.	true
Kineco Limited (Aerospace & Defence)	Kineco Limited	460	100	Available on Desk		Defence & Aerospace	INE024C01016	ACTIVE	₹540	₹370	₹2,100 Cr	Kineco is a premier composite technology manufacturer supplying space, defence, railways and marine infrastructure sectors.	true
ESDS Software Solution Limited	ESDS Software	310	100	Available on Desk		Technology	INE089N01018	DRHP FILED	₹380	₹240	₹2,800 Cr	ESDS Software Solution is a leading cloud services and end-to-end data center solutions provider in India.	true
Growest Industries Limited	Growest Ind	55	500	Available on Desk		Agriculture & Chemicals	INE025D01014	UNLISTED	₹75	₹40	₹320 Cr	Growest Industries produces specialized organic fertilizers, bio-nutrients and agrochemical formulations.	false
Hella Infra Market Private Limited (Infra.Market)	Infra.Market	820	50	Available on Desk		Construction & Materials	INE026E01012	IPO READY	₹980	₹650	₹22,000 Cr	Infra.Market is a premier construction materials company leveraging technology to provide procurement across building products.	true
Indofil Industries Limited	Indofil Industries	890	50	Available on Desk		Chemicals & Agro	INE320A01015	ACTIVE	₹1,050	₹720	₹5,400 Cr	Indofil Industries is an established research-led agrochemicals and specialty chemical manufacturer with global distribution.	false
GH2 Solar Limited	GH2 Solar	68	400	Available on Desk		Renewable Energy	INE027F01019	ACTIVE	₹90	₹48	₹580 Cr	GH2 Solar specializes in green hydrogen generation technology, rooftop solar arrays and distributed clean power EPC.	false
Jupiter International Limited	Jupiter Intl	540	100	Available on Desk		Renewable Energy	INE028G01017	DRHP FILED	₹630	₹410	₹3,900 Cr	Jupiter International is one of India's leading manufacturers of photovoltaic solar cells and green engineering solutions.	true
Ticker Limited	Ticker Ltd	45	500	Available on Desk		Technology & Media	INE029H01015	UNLISTED	₹62	₹33	₹380 Cr	Ticker Limited is a financial technology and real-time market data platform providing financial analysis and terminal feeds.	false
Urban Tots (V-Bazaar Retail)	Urban Tots	52	400	Available on Desk		Consumer & Retail	INE030I01011	UNLISTED	₹70	₹38	₹290 Cr	Urban Tots is a fast-growing retail chain specializing in infant apparel, toys and children's essentials across India.	false
Onix Renewable Limited	Onix Renewable	46	200	Available on Desk		Renewable Energy	INE0B9D01024	UNLISTED	₹58.00	₹34.00	₹620 Cr	Onix Renewable Limited is engaged in solar and wind renewable energy generation, EPC contracts, and green energy infrastructure.	false
Bharat Nidhi Limited (Bennett Coleman Holding)	Bharat Nidhi	11500	5	Available on Desk		Financial Services	INE031J01019	ACTIVE	₹13,200	₹9,800	₹3,400 Cr	Bharat Nidhi Limited is an investment and holding firm with significant shareholding in Bennett, Coleman and Co. (Times Group).	true
A One Steel India Limited	A One Steel	95	250	Available on Desk		Metals & Mining	INE032K01017	ACTIVE	₹120	₹72	₹1,450 Cr	A One Steel India is an integrated steel manufacturer producing TMT bars, structural steel and billets in southern India.	false
Goodluck Defence And Aerospace Limited	Goodluck Defence	380	100	Available on Desk		Defence & Aerospace	INE033L01015	ACTIVE	₹450	₹290	₹1,850 Cr	Goodluck Defence and Aerospace manufactures specialized forgings, forged flanges and aerospace structural components.	true
Goodluck Green Energy Limited	Goodluck Green	140	200	Available on Desk		Renewable Energy	INE034M01013	ACTIVE	₹175	₹110	₹780 Cr	Goodluck Green Energy provides solar module mounting structures, transmission towers and clean infrastructure EPC.	false
HDFC Securities Limited	HDFC Securities	12800	5	Available on Desk		Financial Services	INE504B01010	IPO READY	₹14,500	₹10,500	₹19,800 Cr	HDFC Securities is a leading retail broking firm in India and a subsidiary of HDFC Bank, providing digital equities and wealth management.	true
